Model,MAE,RMSE,R2
Gradient Boosting,0.38862465547697017,0.4736850626339746,0.0704605534147058
Ridge Regression,0.38991128505147715,0.47528084381924884,0.06418701740516286
Linear Regression,0.38991113192072413,0.47528092461263205,0.06418669924589204
Random Forest,0.396764392,0.48301066900489886,0.0334999237286604
Dummy Baseline,0.40368130688000003,0.49134845185534126,-0.00015573382584244122
